mandi,marketCode,village,taluka,district,state,lat,lng,supportedCrops,contactPerson,phone
Parbhani Cotton APMC,MH-PBN-002,Dharampuri,Parbhani,Parbhani,Maharashtra,19.2650,76.7800,"Cotton,Soyabean,Wheat,Pigeon Pea",Shri Ramesh Deshmukh,+91-9823000001
Nanded Grain & Spice Yard,MH-NDD-001,Shivaji Nagar,Nanded,Nanded,Maharashtra,19.1383,77.3210,"Wheat,Soyabean,Turmeric,Chickpea",Shri Santosh Joshi,+91-9823000002
Jalna Seed & Pulse Terminal,MH-JLN-002,Ambad Road,Jalna,Jalna,Maharashtra,19.8450,75.8920,"Soyabean,Maize,Green Chilli,Tomato",Smt Sunita Kulkarni,+91-9823000003
Akola Oilseed Hub,MH-AKL-001,Malkapur,Akola,Akola,Maharashtra,20.7002,77.0082,"Cotton,Soyabean,Wheat,Chickpea",Shri Vijay Patil,+91-9823000004
Latur Pulse Mega Market,MH-LTR-001,Ausa Road,Latur,Latur,Maharashtra,18.4088,76.5604,"Soyabean,Chickpea,Pigeon Pea,Wheat",Shri Anand Gaikwad,+91-9823000005
Baramati Agricultural Produce Market,MH-PUN-005,MIDC Baramati,Baramati,Pune,Maharashtra,18.1513,74.5775,"Tomato,Grapes,Pomegranate,Onion,Wheat",Shri Dnyaneshwar Pawar,+91-9823011122
Nashik Onion & Vegetable Market,MH-NSK-001,Dindori Road,Nashik,Nashik,Maharashtra,19.9975,73.7898,"Onion,Tomato,Grapes,Pomegranate",Shri Sopan Shinde,+91-9823022233
Lasalgaon Onion Terminal,MH-NSK-002,Station Road,Niphad,Nashik,Maharashtra,20.1472,74.2301,"Onion,Tomato,Maize",Shri Balasaheb Kadam,+91-9823033344
Vashi APMC Navi Mumbai,MH-THN-001,Turbhe,Navi Mumbai,Thane,Maharashtra,19.0760,72.9980,"Tomato,Onion,Potato,Grapes,Pomegranate,Banana",Director APMC Mumbai,+91-9823044455
Azadpur Fruit & Vegetable APMC,DL-DLH-001,GT Karnal Road,North Delhi,New Delhi,Delhi,28.7165,77.1775,"Tomato,Onion,Potato,Grapes,Pomegranate,Ginger,Garlic",Chief Marketing Officer,+91-9811000099
